                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1999,                 3.7007,                 1.1333,                0.04776,                0.54462,                0.15639,                0.12955,                0.76686,                    inf,                0.93301,               0.068739,              0.0016453,              0.0016453
                      1,                0.83292,                 1.8963,                0.95309,                 0.4608,                 0.4709,                0.47011,                0.37218,                0.79289,                 1.7785,                0.95994,               0.037069,              0.0033087,              0.0033087
                      2,                0.84847,                 1.3827,                0.94824,                 0.6617,                0.69634,                0.70458,                0.56621,                0.74449,                 1.1999,                0.94223,              0.0053961,              0.0049688,              0.0049688
                      3,                 0.8042,                 1.1003,                0.94076,                0.82623,                0.78521,                0.85538,                0.69635,                0.70401,                 1.0182,                0.92407,              0.0049851,              0.0049851,              0.0049851
                      4,                0.76503,                0.93437,                0.91854,                0.88022,                0.84086,                0.91349,                0.75307,                 0.6682,                0.81449,                 0.9234,              0.0049851,              0.0049851,              0.0049851
                      5,                0.72948,                0.84964,                0.91407,                0.91794,                0.87385,                0.93954,                0.79253,                0.60957,                0.71907,                0.90384,              0.0049802,              0.0049802,              0.0049802
                      6,                0.70289,                0.79632,                0.90624,                0.91631,                0.88921,                0.94846,                0.78941,                0.64886,                0.69416,                 0.9037,              0.0049752,              0.0049752,              0.0049752
                      7,                0.69666,                 0.7387,                0.89894,                0.92656,                 0.9065,                0.95646,                0.81208,                0.59831,                0.65517,                 0.8911,              0.0049703,              0.0049703,              0.0049703
                      8,                0.68367,                0.72945,                0.89812,                 0.9327,                0.91353,                 0.9611,                0.81868,                0.58023,                0.62268,                0.89078,              0.0049654,              0.0049654,              0.0049654
                      9,                0.66062,                0.69222,                0.89117,                0.95085,                0.91392,                0.96491,                0.82514,                0.57937,                0.60014,                0.89291,              0.0049604,              0.0049604,              0.0049604
                     10,                0.65972,                0.66071,                0.88926,                0.94853,                0.91427,                0.96833,                0.83113,                0.57156,                 0.5899,                0.88419,              0.0049555,              0.0049555,              0.0049555
                     11,                0.64805,                0.64229,                0.88387,                0.94136,                0.91331,                0.96488,                0.82255,                0.58884,                0.59837,                0.88802,              0.0049505,              0.0049505,              0.0049505
                     12,                0.63712,                0.62622,                0.88431,                0.95323,                0.92093,                0.97077,                0.83541,                0.55662,                0.54938,                0.88221,              0.0049455,              0.0049455,              0.0049455
                     13,                 0.6321,                0.61527,                0.88498,                0.95574,                0.91583,                0.96905,                0.83376,                0.55198,                0.53845,                0.87653,              0.0049406,              0.0049406,              0.0049406
                     14,                0.62729,                0.59416,                0.88252,                0.96088,                0.92374,                 0.9728,                0.84193,                0.54299,                0.53344,                0.87567,              0.0049356,              0.0049356,              0.0049356
                     15,                0.61551,                0.58624,                0.87786,                0.95353,                0.92397,                0.97169,                0.83933,                0.55184,                0.53145,                0.88488,              0.0049307,              0.0049307,              0.0049307
                     16,                0.61513,                0.56469,                0.87702,                0.96267,                0.93305,                0.97464,                0.84743,                0.52959,                0.49372,                0.87484,              0.0049257,              0.0049257,              0.0049257
                     17,                0.61032,                0.56286,                0.87766,                0.96216,                0.93404,                0.97571,                0.84835,                0.53551,                0.48944,                0.87852,              0.0049208,              0.0049208,              0.0049208
                     18,                0.60445,                 0.5533,                0.87356,                 0.9629,                0.93564,                0.97601,                0.84867,                0.53922,                0.49311,                0.87311,              0.0049159,              0.0049159,              0.0049159
                     19,                0.60232,                0.55152,                0.87543,                0.95733,                0.93442,                0.97447,                0.84488,                0.53128,                0.49501,                0.87402,              0.0049109,              0.0049109,              0.0049109
                     20,                 0.5986,                0.52677,                0.86947,                0.96024,                 0.9392,                0.97676,                0.85261,                0.52606,                0.46673,                0.87458,               0.004906,               0.004906,               0.004906
                     21,                0.58499,                0.51989,                0.87071,                0.96298,                0.93119,                0.97549,                0.85472,                0.51759,                0.46531,                0.87175,               0.004901,               0.004901,               0.004901
                     22,                 0.5919,                 0.5211,                 0.8699,                0.96332,                 0.9404,                0.97902,                0.85752,                0.51992,                0.45592,                 0.8702,               0.004896,               0.004896,               0.004896
                     23,                0.58214,                0.50663,                 0.8694,                0.96228,                0.93902,                0.97716,                0.85698,                 0.5246,                0.46103,                0.87212,              0.0048911,              0.0048911,              0.0048911
                     24,                0.58099,                0.49706,                0.86886,                0.95624,                0.93723,                0.97571,                0.85604,                0.50977,                0.45127,                 0.8707,              0.0048861,              0.0048861,              0.0048861
                     25,                0.57731,                0.49273,                 0.8666,                0.96589,                0.93746,                0.97982,                0.85896,                0.52283,                0.43811,                0.87374,              0.0048812,              0.0048812,              0.0048812
                     26,                0.57979,                0.48786,                0.86544,                0.96217,                0.93605,                0.97727,                 0.8577,                0.51659,                0.44476,                0.87101,              0.0048762,              0.0048762,              0.0048762
                     27,                0.57135,                0.47974,                0.86619,                0.96273,                0.94087,                0.98044,                 0.8633,                0.50812,                0.42808,                0.86618,              0.0048713,              0.0048713,              0.0048713
                     28,                  0.567,                0.47384,                0.86364,                0.96338,                0.93991,                0.97933,                0.86096,                0.51065,                0.42725,                0.87101,              0.0048664,              0.0048664,              0.0048664
                     29,                0.56411,                 0.4702,                0.86414,                0.96068,                0.94529,                0.98055,                0.86688,                0.50247,                0.41968,                0.86738,              0.0048614,              0.0048614,              0.0048614
                     30,                0.56144,                0.46166,                0.86066,                0.96121,                0.93858,                0.97777,                0.86396,                0.49734,                0.42106,                0.86804,              0.0048565,              0.0048565,              0.0048565
                     31,                0.56362,                  0.464,                0.86337,                 0.9601,                0.94088,                0.97833,                0.85924,                0.51979,                 0.4293,                0.87603,              0.0048515,              0.0048515,              0.0048515
                     32,                0.55641,                0.45652,                0.85985,                0.96599,                0.93964,                0.97924,                  0.864,                0.50165,                0.41368,                 0.8691,              0.0048465,              0.0048465,              0.0048465
                     33,                0.55944,                0.45631,                0.86113,                0.96141,                0.94602,                0.97939,                0.86586,                0.49914,                0.40989,                0.86634,              0.0048416,              0.0048416,              0.0048416
                     34,                0.55094,                0.44146,                0.86008,                0.96071,                0.94518,                0.98012,                0.86448,                0.50735,                0.40247,                0.86931,              0.0048367,              0.0048367,              0.0048367
                     35,                0.55482,                0.44016,                0.85918,                0.96814,                0.94221,                0.98148,                 0.8656,                0.50539,                0.39904,                0.87196,              0.0048317,              0.0048317,              0.0048317
                     36,                0.55048,                0.43407,                0.86085,                0.96911,                0.94345,                0.98178,                0.86826,                0.49949,                0.39357,                0.86827,              0.0048267,              0.0048267,              0.0048267
                     37,                0.54688,                 0.4346,                0.86032,                0.96572,                0.95031,                0.98126,                0.86855,                0.50046,                0.38801,                0.87021,              0.0048218,              0.0048218,              0.0048218
                     38,                0.54585,                0.42781,                0.85625,                0.97064,                0.94783,                0.98249,                0.87332,                 0.4916,                0.38533,                0.86678,              0.0048169,              0.0048169,              0.0048169
                     39,                0.54221,                0.42649,                0.85857,                0.97139,                0.94235,                 0.9801,                0.86789,                0.49559,                0.38742,                0.86829,              0.0048119,              0.0048119,              0.0048119
                     40,                0.54611,                0.41977,                0.85705,                0.96317,                0.95141,                0.98276,                0.87174,                 0.4944,                0.37809,                0.86638,              0.0048069,              0.0048069,              0.0048069
                     41,                0.53845,                0.41148,                0.85488,                0.96294,                0.94702,                0.98068,                0.86966,                0.49578,                0.38307,                0.86564,               0.004802,               0.004802,               0.004802
                     42,                0.54046,                0.42005,                0.85735,                0.96427,                0.94681,                0.98133,                0.87407,                0.49168,                0.38057,                0.86639,               0.004797,               0.004797,               0.004797
                     43,                0.53617,                 0.4075,                0.85488,                0.97114,                0.94921,                0.98222,                0.87453,                0.48987,                0.37047,                0.86477,              0.0047921,              0.0047921,              0.0047921
                     44,                0.53134,                0.40813,                0.85577,                0.96265,                0.94651,                0.98203,                0.87111,                0.49537,                0.37624,                0.86558,              0.0047872,              0.0047872,              0.0047872
                     45,                0.53166,                0.40067,                0.85385,                0.96797,                0.93904,                0.98128,                 0.8708,                0.49421,                0.38177,                0.86469,              0.0047822,              0.0047822,              0.0047822
                     46,                0.53418,                0.40635,                 0.8542,                0.96281,                0.95009,                0.98161,                0.87166,                0.48887,                0.37209,                0.86559,              0.0047772,              0.0047772,              0.0047772
                     47,                 0.5317,                0.40088,                0.85539,                0.96909,                0.94382,                0.98208,                0.87233,                0.49239,                0.37209,                0.86596,              0.0047723,              0.0047723,              0.0047723
                     48,                0.53018,                0.39694,                0.85445,                0.97071,                 0.9506,                 0.9838,                0.87638,                0.48577,                0.35776,                0.86401,              0.0047674,              0.0047674,              0.0047674
                     49,                0.52723,                0.39346,                0.85298,                0.96477,                0.94965,                0.98177,                0.87381,                0.48926,                0.36066,                0.86529,              0.0047624,              0.0047624,              0.0047624
                     50,                0.52643,                0.39121,                 0.8522,                0.96586,                0.94362,                 0.9809,                0.87524,                0.48857,                0.36907,                0.86493,              0.0047574,              0.0047574,              0.0047574
                     51,                0.52234,                0.38625,                0.84985,                0.96804,                0.95433,                0.98229,                0.87401,                0.48886,                0.36001,                0.86661,              0.0047525,              0.0047525,              0.0047525
                     52,                 0.5198,                0.38134,                0.84973,                0.96865,                0.95048,                0.98232,                0.87606,                 0.4831,                0.35931,                0.86368,              0.0047475,              0.0047475,              0.0047475
                     53,                0.52402,                0.38787,                0.85264,                0.97084,                 0.9459,                 0.9821,                0.87645,                0.48616,                 0.3562,                0.86255,              0.0047426,              0.0047426,              0.0047426
                     54,                0.52009,                0.38109,                 0.8504,                0.96681,                0.95387,                0.98194,                0.87859,                0.47993,                0.35254,                0.86213,              0.0047377,              0.0047377,              0.0047377
                     55,                0.51666,                0.37984,                0.85095,                0.96729,                0.95044,                0.98271,                0.87577,                0.48705,                0.35811,                0.86712,              0.0047327,              0.0047327,              0.0047327
                     56,                 0.5199,                0.37653,                0.85021,                0.96509,                 0.9518,                0.98271,                0.87833,                0.48403,                0.35662,                0.86323,              0.0047278,              0.0047278,              0.0047278
                     57,                0.51774,                 0.3796,                0.85278,                0.95956,                0.95253,                0.98185,                0.87457,                0.48545,                0.35811,                0.86618,              0.0047228,              0.0047228,              0.0047228
                     58,                 0.5107,                 0.3777,                0.84922,                0.96567,                 0.9526,                0.98368,                0.87878,                0.48691,                 0.3504,                0.86681,              0.0047178,              0.0047178,              0.0047178
                     59,                0.51541,                0.37428,                0.84793,                0.96164,                0.95445,                0.98234,                0.87763,                0.48068,                0.34893,                0.86401,              0.0047129,              0.0047129,              0.0047129
                     60,                0.51441,                0.37812,                0.85297,                0.96887,                0.95233,                0.98369,                0.87676,                0.48948,                0.34941,                0.86425,               0.004708,               0.004708,               0.004708
                     61,                0.51414,                0.37183,                0.84987,                0.96787,                   0.95,                0.98154,                0.88044,                0.47704,                0.34949,                0.86221,               0.004703,               0.004703,               0.004703
                     62,                0.50842,                0.35987,                0.84846,                0.96962,                0.95363,                0.98427,                0.88177,                0.47782,                0.34135,                0.86191,              0.0046981,              0.0046981,              0.0046981
                     63,                0.51115,                0.36837,                0.85006,                0.97015,                 0.9538,                0.98279,                0.87412,                0.49059,                0.34733,                0.86616,              0.0046931,              0.0046931,              0.0046931
                     64,                0.51094,                0.36573,                0.84865,                0.96557,                0.95052,                0.98168,                0.87452,                0.48969,                0.35002,                0.86323,              0.0046882,              0.0046882,              0.0046882
                     65,                0.51049,                0.36107,                0.84792,                0.97134,                 0.9479,                0.98308,                0.88075,                0.47938,                0.35065,                0.86262,              0.0046832,              0.0046832,              0.0046832
                     66,                0.50515,                 0.3601,                0.84883,                0.96049,                0.95829,                0.98392,                0.88247,                0.47701,                0.34032,                0.86317,              0.0046783,              0.0046783,              0.0046783
                     67,                0.50534,                0.36198,                0.84614,                0.97011,                0.95259,                0.98359,                 0.8808,                0.48014,                0.34316,                0.86472,              0.0046733,              0.0046733,              0.0046733
                     68,                0.50672,                0.35715,                0.84725,                0.96329,                0.95744,                0.98376,                0.88281,                0.47686,                0.33524,                0.86346,              0.0046683,              0.0046683,              0.0046683
                     69,                0.50797,                 0.3556,                0.84781,                0.96753,                0.95538,                0.98345,                0.88223,                 0.4812,                0.34068,                0.86378,              0.0046634,              0.0046634,              0.0046634
                     70,                0.50047,                0.35489,                0.84434,                0.96552,                0.94834,                0.98078,                0.87855,                0.48461,                0.35008,                0.86404,              0.0046585,              0.0046585,              0.0046585
                     71,                0.50324,                0.35261,                0.84708,                0.96829,                0.95382,                 0.9828,                0.88365,                0.48062,                0.33804,                0.86296,              0.0046535,              0.0046535,              0.0046535
                     72,                0.50441,                0.35481,                0.85046,                0.96779,                0.95266,                0.98435,                0.88113,                0.48073,                0.33745,                0.86428,              0.0046486,              0.0046486,              0.0046486
