                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1851,                 4.3399,                 1.1785,                0.02765,                0.19056,                0.06379,                0.05395,                0.63916,                    inf,                0.90426,                0.07038,              0.0032911,              0.0032911
                      1,                0.83887,                 2.3283,                0.96173,                0.46355,                0.27668,                0.21177,                0.16751,                0.77414,                 1.7837,                0.97294,               0.040367,              0.0066114,              0.0066114
                      2,                0.86641,                 1.6272,                0.97605,                0.32154,                0.37909,                0.31381,                0.25139,                0.70998,                 1.8369,                0.95619,                0.01034,              0.0099184,              0.0099184
                      3,                0.82111,                 1.2708,                0.96328,                0.63146,                0.47444,                 0.5247,                0.40399,                0.78638,                 1.0815,                0.99833,              0.0099406,              0.0099406,              0.0099406
                      4,                0.73864,                 1.0583,                0.93557,                0.73175,                 0.5983,                0.62193,                0.48778,                 0.7659,                 1.0717,                0.96519,              0.0099406,              0.0099406,              0.0099406
                      5,                0.70381,                0.94277,                0.92412,                0.84593,                 0.6727,                0.71055,                0.60745,                0.55521,                0.81966,                0.90612,              0.0099208,              0.0099208,              0.0099208
                      6,                0.67461,                0.87489,                0.91734,                0.84592,                0.68823,                0.74506,                 0.6395,                0.55939,                0.73979,                0.90951,               0.009901,               0.009901,               0.009901
                      7,                0.65577,                0.82962,                0.90786,                0.86707,                0.72763,                 0.7678,                0.62505,                0.67164,                0.70569,                0.91688,              0.0098812,              0.0098812,              0.0098812
                      8,                0.63343,                0.78912,                0.90581,                0.88379,                0.72067,                0.78199,                0.64828,                0.65334,                 0.7403,                0.91153,              0.0098614,              0.0098614,              0.0098614
                      9,                0.62045,                0.75117,                0.89616,                 0.8667,                0.74891,                0.78807,                0.69063,                0.50516,                0.64281,                0.88348,              0.0098416,              0.0098416,              0.0098416
                     10,                0.60584,                0.74882,                0.89568,                 0.8882,                 0.7568,                 0.7964,                0.69728,                0.51495,                0.62169,                0.88107,              0.0098218,              0.0098218,              0.0098218
                     11,                0.59671,                0.71215,                0.89029,                0.90721,                0.74226,                0.80662,                0.67629,                0.61192,                0.62569,                0.89548,               0.009802,               0.009802,               0.009802
                     12,                0.58858,                0.69598,                0.89089,                0.90455,                0.77052,                0.82216,                0.70371,                0.55657,                0.59589,                0.89181,              0.0097822,              0.0097822,              0.0097822
                     13,                0.58056,                0.67888,                0.88904,                 0.9091,                0.77588,                0.82491,                0.73072,                0.48296,                0.58092,                 0.8776,              0.0097624,              0.0097624,              0.0097624
                     14,                0.57941,                0.66812,                0.88299,                0.91462,                0.75701,                0.82031,                0.72198,                0.49576,                0.60521,                0.88117,              0.0097426,              0.0097426,              0.0097426
                     15,                 0.5687,                  0.655,                0.88218,                0.91173,                0.77706,                0.82677,                0.71172,                0.54999,                0.59193,                 0.8827,              0.0097228,              0.0097228,              0.0097228
                     16,                0.56221,                0.63543,                0.87677,                0.87955,                0.78588,                0.82875,                0.70853,                0.58369,                0.57485,                0.88646,               0.009703,               0.009703,               0.009703
                     17,                0.55046,                0.62683,                0.87745,                0.91818,                0.78877,                0.82831,                0.72331,                0.51117,                0.54225,                0.87172,              0.0096832,              0.0096832,              0.0096832
