                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8388,                 4.6666,                 1.5842,                      0,                      0,                      0,                      0,                0.83935,                    inf,                0.93197,                0.07435,                0.00135,                0.00135
                      1,                0.88187,                 3.3953,                0.95134,                 0.0877,                0.54278,                 0.1185,                 0.0941,                0.81433,                    inf,                0.92322,               0.047748,              0.0027477,              0.0027477
                      2,                0.86332,                 2.0921,                0.95713,                0.56844,                0.34439,                0.38464,                0.29669,                0.83676,                    inf,                0.99152,               0.021143,              0.0041432,              0.0041432
                      3,                0.86042,                 1.5649,                0.96151,                  0.677,                0.56352,                0.57429,                0.44016,                0.85592,                 1.8435,                0.99609,              0.0049876,              0.0049876,              0.0049876
                      4,                0.81174,                 1.2765,                0.94405,                0.81658,                0.65291,                0.69966,                0.54768,                0.82732,                 1.4439,                0.95526,              0.0049876,              0.0049876,              0.0049876
                      5,                0.78107,                 1.0826,                0.93359,                0.84786,                 0.7163,                0.77567,                0.63594,                0.69645,                 1.0991,                0.92664,              0.0049835,              0.0049835,              0.0049835
                      6,                 0.7432,                0.93671,                0.92533,                0.88478,                0.75121,                0.81154,                0.66226,                0.70017,                0.89597,                0.93369,              0.0049794,              0.0049794,              0.0049794
                      7,                0.72301,                0.84352,                0.91908,                0.91206,                0.78553,                0.84532,                0.69305,                0.68842,                0.76585,                0.92864,              0.0049752,              0.0049752,              0.0049752
                      8,                0.70342,                0.79712,                0.91494,                0.93335,                0.79762,                0.86108,                0.71753,                 0.6434,                0.71486,                0.91673,              0.0049711,              0.0049711,              0.0049711
                      9,                0.67389,                0.77726,                0.91042,                0.93476,                0.80206,                0.86278,                0.71322,                0.68854,                0.71636,                0.93436,               0.004967,               0.004967,               0.004967
                     10,                 0.6865,                0.72401,                0.90298,                0.94897,                0.80208,                0.87857,                0.73853,                0.63044,                0.66821,                0.91139,              0.0049629,              0.0049629,              0.0049629
                     11,                0.66741,                0.69441,                0.89919,                 0.9453,                 0.8341,                0.89669,                0.75821,                0.61324,                0.61165,                0.90125,              0.0049588,              0.0049588,              0.0049588
                     12,                0.65804,                 0.6774,                0.89623,                0.92164,                0.85087,                0.92157,                  0.787,                0.58866,                0.61622,                  0.894,              0.0049546,              0.0049546,              0.0049546
                     13,                0.64194,                0.65584,                0.89444,                0.91086,                0.88283,                0.94264,                 0.8016,                0.59157,                0.57842,                0.89501,              0.0049505,              0.0049505,              0.0049505
                     14,                0.64441,                0.64781,                0.89074,                0.88547,                0.89277,                0.94917,                0.81514,                0.56979,                0.55813,                0.89605,              0.0049464,              0.0049464,              0.0049464
                     15,                0.62308,                0.62575,                0.89034,                 0.9362,                0.89413,                0.95493,                0.81648,                0.57405,                0.56279,                0.88729,              0.0049422,              0.0049422,              0.0049422
                     16,                0.62874,                0.61781,                0.88356,                0.92407,                 0.9038,                0.95694,                0.82803,                0.54558,                0.54723,                0.88832,              0.0049381,              0.0049381,              0.0049381
                     17,                0.61116,                0.60392,                 0.8806,                0.93833,                0.90715,                0.95957,                0.82299,                0.56947,                0.56731,                0.88626,               0.004934,               0.004934,               0.004934
                     18,                0.60518,                0.62426,                0.88449,                0.93122,                0.91936,                0.96082,                0.82863,                0.55045,                0.54463,                0.88465,              0.0049299,              0.0049299,              0.0049299
                     19,                0.60231,                0.58714,                 0.8825,                0.93429,                0.92208,                0.96711,                0.83732,                0.54632,                0.53619,                0.88181,              0.0049257,              0.0049257,              0.0049257
                     20,                0.59675,                0.56986,                0.88107,                 0.9612,                0.91934,                0.97165,                0.84253,                0.53765,                0.51853,                0.88133,              0.0049216,              0.0049216,              0.0049216
                     21,                0.59464,                0.56444,                0.87814,                0.92999,                0.94171,                0.97378,                 0.8472,                0.53504,                0.49641,                0.88613,              0.0049175,              0.0049175,              0.0049175
                     22,                0.59104,                0.56891,                0.87881,                0.94507,                0.94137,                0.97165,                0.84677,                0.52707,                0.51068,                0.87912,              0.0049134,              0.0049134,              0.0049134
                     23,                0.59006,                0.56119,                0.87586,                0.95321,                0.92844,                0.97087,                0.84741,                0.52285,                0.49215,                0.87792,              0.0049093,              0.0049093,              0.0049093
                     24,                0.57992,                0.56124,                 0.8743,                0.94519,                0.94105,                0.97222,                0.84219,                0.54349,                0.52105,                0.88006,              0.0049051,              0.0049051,              0.0049051
                     25,                0.58354,                0.54999,                0.87545,                  0.953,                0.94378,                0.97422,                0.85017,                 0.5241,                0.49206,                0.87872,               0.004901,               0.004901,               0.004901
                     26,                0.58061,                0.54224,                0.87299,                0.95617,                0.94663,                0.97827,                0.85208,                0.52464,                0.47638,                 0.8774,              0.0048969,              0.0048969,              0.0048969
                     27,                0.56868,                0.53141,                0.87435,                0.96039,                0.94384,                0.97761,                0.84774,                0.54564,                0.49075,                0.87815,              0.0048927,              0.0048927,              0.0048927
                     28,                0.57026,                 0.5249,                0.86909,                0.95012,                0.94765,                0.97823,                0.85965,                0.50794,                0.46249,                  0.878,              0.0048886,              0.0048886,              0.0048886
                     29,                 0.5524,                 0.5381,                0.87103,                0.96036,                0.94098,                0.97881,                0.85367,                 0.5232,                0.48805,                0.87982,              0.0048845,              0.0048845,              0.0048845
                     30,                0.56225,                0.53587,                0.87097,                0.94993,                0.94987,                0.97609,                0.85928,                0.49837,                0.46157,                0.87346,              0.0048804,              0.0048804,              0.0048804
                     31,                0.56427,                0.51177,                0.86854,                0.95659,                0.94395,                0.97883,                0.86091,                0.50504,                0.45324,                0.87486,              0.0048762,              0.0048762,              0.0048762
                     32,                0.56593,                0.51004,                0.86712,                0.96747,                0.93402,                0.97693,                0.86323,                0.49536,                0.44883,                 0.8709,              0.0048721,              0.0048721,              0.0048721
                     33,                0.54981,                 0.5118,                0.86521,                0.95596,                0.95587,                0.97981,                0.85537,                0.52767,                0.46644,                0.87535,               0.004868,               0.004868,               0.004868
                     34,                0.55504,                 0.5007,                0.86745,                0.96154,                0.94058,                0.97939,                0.85562,                0.52044,                0.44449,                0.88024,              0.0048639,              0.0048639,              0.0048639
                     35,                0.54727,                0.49352,                0.86153,                0.94715,                 0.9516,                0.97703,                0.86148,                0.50387,                0.43716,                 0.8709,              0.0048598,              0.0048598,              0.0048598
                     36,                0.54713,                 0.4863,                0.86537,                0.95291,                0.94178,                 0.9752,                0.85705,                0.50765,                0.44603,                0.87468,              0.0048556,              0.0048556,              0.0048556
                     37,                0.54316,                0.50427,                0.86317,                0.96351,                0.94494,                0.98179,                0.85929,                0.50235,                0.45695,                0.86936,              0.0048515,              0.0048515,              0.0048515
                     38,                0.54022,                0.49612,                0.86547,                0.96574,                0.95506,                0.98204,                0.86637,                0.51005,                0.43102,                 0.8709,              0.0048474,              0.0048474,              0.0048474
                     39,                0.53709,                0.47817,                0.86316,                0.96813,                0.95088,                0.98066,                0.86836,                0.49321,                0.43085,                0.86968,              0.0048433,              0.0048433,              0.0048433
                     40,                0.54471,                0.47824,                0.86606,                0.97689,                0.93835,                 0.9786,                0.86738,                0.48903,                0.42938,                0.86818,              0.0048391,              0.0048391,              0.0048391
                     41,                0.53758,                 0.4702,                0.86183,                0.96796,                0.95325,                0.98122,                0.86837,                0.48906,                0.42061,                0.87188,               0.004835,               0.004835,               0.004835
                     42,                0.53446,                0.48359,                0.86112,                0.96997,                0.94977,                 0.9793,                0.86641,                0.48579,                0.44059,                0.87082,              0.0048309,              0.0048309,              0.0048309
                     43,                0.52599,                0.49591,                0.86155,                0.97656,                0.94692,                0.98207,                0.86294,                0.50247,                 0.4362,                0.87575,              0.0048267,              0.0048267,              0.0048267
                     44,                 0.5348,                0.47857,                0.85782,                0.97922,                0.95038,                0.98363,                0.87015,                0.48823,                0.41635,                0.86891,              0.0048226,              0.0048226,              0.0048226
                     45,                0.53509,                0.46728,                  0.858,                0.96431,                0.95849,                0.98399,                0.87006,                 0.4847,                0.41127,                0.86588,              0.0048185,              0.0048185,              0.0048185
                     46,                0.52881,                0.45704,                0.85703,                0.95529,                0.95695,                0.98143,                0.86293,                0.51271,                0.43667,                 0.8788,              0.0048144,              0.0048144,              0.0048144
                     47,                 0.5324,                0.45702,                0.85995,                0.97585,                0.95108,                0.98234,                0.87113,                0.48522,                0.40464,                0.87035,              0.0048103,              0.0048103,              0.0048103
                     48,                0.52395,                 0.4624,                0.85765,                0.95342,                0.95164,                0.97987,                0.86772,                0.48035,                0.42466,                0.86418,              0.0048061,              0.0048061,              0.0048061
                     49,                0.52201,                0.46418,                 0.8574,                0.96846,                0.95983,                0.98437,                0.87716,                 0.4741,                0.39762,                0.86665,               0.004802,               0.004802,               0.004802
                     50,                0.52464,                 0.4493,                0.85933,                0.95722,                 0.9569,                0.98162,                0.87578,                0.47168,                0.41067,                0.86497,              0.0047979,              0.0047979,              0.0047979
                     51,                0.51934,                 0.4462,                0.85796,                0.97152,                0.95793,                0.98478,                0.87358,                0.48037,                0.40121,                0.86571,              0.0047938,              0.0047938,              0.0047938
                     52,                0.52012,                0.44957,                0.85293,                0.97884,                0.95386,                0.98399,                0.87748,                0.47729,                0.39724,                0.86485,              0.0047896,              0.0047896,              0.0047896
                     53,                0.51696,                 0.4421,                0.85782,                0.95496,                0.95143,                0.97905,                0.86998,                0.48155,                0.41587,                0.86513,              0.0047855,              0.0047855,              0.0047855
                     54,                0.51332,                0.44004,                0.85548,                0.95759,                0.95305,                0.98168,                0.87603,                0.47623,                0.40453,                0.86283,              0.0047814,              0.0047814,              0.0047814
                     55,                0.51683,                0.43665,                0.85349,                0.97272,                0.95612,                0.98398,                0.87569,                0.47683,                0.39014,                0.87076,              0.0047772,              0.0047772,              0.0047772
                     56,                0.50507,                0.44238,                0.85668,                 0.9703,                 0.9596,                0.98462,                0.87559,                0.47643,                0.39089,                0.86557,              0.0047731,              0.0047731,              0.0047731
                     57,                0.51128,                0.43266,                0.85342,                0.95485,                0.95842,                0.98216,                0.87272,                0.47554,                0.38649,                0.86724,               0.004769,               0.004769,               0.004769
                     58,                0.51309,                0.43365,                0.85595,                0.97086,                0.95412,                0.98374,                0.87556,                0.47067,                0.38979,                0.86658,              0.0047649,              0.0047649,              0.0047649
                     59,                 0.5125,                0.43368,                0.85133,                0.97934,                0.95361,                0.98576,                0.87908,                 0.4718,                0.38998,                 0.8623,              0.0047608,              0.0047608,              0.0047608
                     60,                0.50213,                0.44335,                 0.8498,                0.97243,                0.95929,                0.98429,                 0.8773,                0.46697,                0.38563,                0.86487,              0.0047566,              0.0047566,              0.0047566
                     61,                0.50574,                 0.4243,                0.85193,                0.97503,                0.95616,                0.98385,                0.87991,                0.46508,                0.38419,                0.86394,              0.0047525,              0.0047525,              0.0047525
                     62,                0.50518,                0.42468,                0.85485,                 0.9735,                0.95947,                0.98457,                0.87976,                 0.4688,                0.38233,                0.86052,              0.0047484,              0.0047484,              0.0047484
                     63,                0.50918,                0.42217,                0.84854,                0.98022,                0.95426,                0.98525,                0.87956,                0.47038,                0.37755,                0.86749,              0.0047443,              0.0047443,              0.0047443
                     64,                0.50349,                0.41975,                0.85191,                0.96136,                0.95945,                0.98274,                0.87529,                0.46849,                0.38338,                0.86354,              0.0047401,              0.0047401,              0.0047401
                     65,                0.50294,                0.41574,                0.85213,                0.98224,                0.95314,                0.98457,                0.87916,                0.46436,                0.36554,                0.86514,               0.004736,               0.004736,               0.004736
                     66,                0.50359,                0.41804,                0.85233,                0.97604,                 0.9598,                0.98578,                0.88313,                0.46105,                0.37886,                0.86237,              0.0047319,              0.0047319,              0.0047319
                     67,                0.49464,                0.42063,                0.85073,                0.97247,                0.96157,                0.98682,                0.88331,                0.46433,                0.37333,                0.86255,              0.0047278,              0.0047278,              0.0047278
                     68,                0.49677,                0.41244,                0.85038,                0.96491,                0.94694,                0.98322,                 0.8824,                0.45545,                0.38131,                 0.8616,              0.0047236,              0.0047236,              0.0047236
                     69,                0.49185,                0.40794,                 0.8503,                0.96751,                0.95933,                0.98581,                0.88259,                 0.4612,                0.36819,                0.86234,              0.0047195,              0.0047195,              0.0047195
                     70,                0.49326,                0.41182,                 0.8498,                0.97884,                0.95792,                0.98692,                0.88042,                0.47437,                0.37023,                0.86805,              0.0047154,              0.0047154,              0.0047154
                     71,                0.49137,                0.41708,                0.85077,                0.97144,                0.95931,                0.98552,                0.87841,                0.47212,                0.37151,                0.86201,              0.0047113,              0.0047113,              0.0047113
                     72,                0.49073,                 0.4015,                0.84996,                0.96915,                0.95014,                0.98278,                0.87989,                0.46514,                0.37397,                0.86525,              0.0047071,              0.0047071,              0.0047071
                     73,                0.49387,                0.40351,                0.84835,                0.97232,                0.96334,                0.98556,                0.88186,                0.46747,                0.36512,                0.86327,               0.004703,               0.004703,               0.004703
                     74,                0.48823,                0.41391,                0.84552,                0.97775,                0.96086,                0.98617,                0.88116,                 0.4655,                0.37181,                 0.8593,              0.0046989,              0.0046989,              0.0046989
                     75,                0.49206,                 0.4016,                0.84604,                0.97282,                0.96259,                0.98675,                0.88113,                0.47106,                0.36685,                0.86528,              0.0046948,              0.0046948,              0.0046948
                     76,                0.49272,                0.40279,                0.85245,                0.97093,                0.96245,                0.98679,                0.88397,                  0.462,                0.36519,                0.86126,              0.0046906,              0.0046906,              0.0046906
                     77,                0.48835,                0.40325,                0.84706,                0.96959,                0.96562,                0.98516,                0.88523,                  0.458,                0.36311,                0.86188,              0.0046865,              0.0046865,              0.0046865
