                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2513,                 3.0063,                 1.2104,                0.02967,                0.89347,                0.46742,                0.36341,                0.81622,                 3.1133,                0.95234,               0.070789,              0.0032456,              0.0032456
                      1,                0.90835,                 1.6152,                0.98375,                0.69356,                0.50124,                0.66455,                0.51999,                0.85762,                 2.5591,                0.95158,               0.040724,              0.0065138,              0.0065138
                      2,                0.93677,                 1.3275,                 1.0101,                0.91513,                0.84056,                0.93402,                  0.712,                0.84473,                 1.5418,                0.95611,               0.010593,               0.009716,               0.009716
                      3,                0.91026,                 1.1488,                 1.0072,                 0.9613,                0.91546,                0.96322,                 0.7478,                0.75299,                 1.2807,                0.95094,               0.009703,               0.009703,               0.009703
                      4,                0.84603,                 1.0901,                0.99556,                0.94465,                0.94156,                0.97465,                0.75643,                0.83427,                 1.0206,                0.98742,               0.009703,               0.009703,               0.009703
                      5,                0.83506,                0.97416,                0.98214,                0.96285,                0.93557,                0.97343,                  0.747,                0.83655,                0.85571,                0.98088,               0.009604,               0.009604,               0.009604
                      6,                0.81655,                0.87823,                0.99045,                 0.9862,                0.93552,                 0.9824,                0.75765,                0.83005,                0.74247,                0.95333,               0.009505,               0.009505,               0.009505
                      7,                0.81332,                0.80946,                0.97449,                0.96383,                0.94959,                0.97295,                0.76118,                0.74582,                0.75682,                0.96345,               0.009406,               0.009406,               0.009406
                      8,                0.76603,                0.76523,                0.96567,                0.97001,                0.97666,                0.98491,                0.76747,                0.75243,                0.67322,                0.94956,               0.009307,               0.009307,               0.009307
                      9,                0.75973,                0.74909,                0.95432,                0.97796,                0.97424,                0.99064,                0.78086,                0.72064,                0.59764,                0.92252,               0.009208,               0.009208,               0.009208
