                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0424,                 3.0436,                 1.0485,                0.40432,                0.39742,                0.36378,                 0.2896,                0.79378,                 1.8318,                0.95901,               0.070192,               0.003312,               0.003312
                      1,                0.89117,                 1.5165,                0.95529,                 0.6553,                0.67424,                0.69692,                0.54102,                0.79789,                 1.1633,                 0.9495,               0.040127,              0.0065795,              0.0065795
                      2,                0.91695,                 1.1622,                0.96394,                0.86325,                0.80414,                0.86415,                0.68379,                0.73639,                0.91671,                0.94304,              0.0099947,              0.0097811,              0.0097811
                      3,                0.86912,                0.98155,                0.95033,                0.90508,                 0.8547,                0.91221,                0.73745,                0.69539,                0.80217,                0.92474,               0.009703,               0.009703,               0.009703
                      4,                0.80449,                0.86755,                0.93405,                0.92025,                0.88724,                0.93342,                0.76983,                0.66139,                0.68682,                 0.9055,               0.009703,               0.009703,               0.009703
                      5,                0.76747,                 0.7785,                0.92246,                0.92434,                0.88924,                  0.939,                0.79202,                 0.6068,                0.64428,                0.89473,               0.009604,               0.009604,               0.009604
                      6,                0.74151,                0.73705,                0.91392,                0.94564,                0.91528,                 0.9518,                0.80006,                  0.622,                 0.5827,                 0.8955,               0.009505,               0.009505,               0.009505
                      7,                0.71204,                0.68517,                 0.9068,                0.94441,                0.91717,                0.95388,                0.81097,                0.58884,                 0.5662,                0.89457,               0.009406,               0.009406,               0.009406
                      8,                 0.6976,                 0.6562,                0.90551,                0.92688,                0.91553,                0.95298,                0.80654,                 0.5952,                0.56373,                0.88723,               0.009307,               0.009307,               0.009307
                      9,                0.68177,                 0.6221,                  0.896,                 0.9392,                0.92735,                0.96065,                 0.8216,                0.56505,                0.52451,                0.88304,               0.009208,               0.009208,               0.009208
                     10,                0.65898,                0.59946,                0.89057,                0.95379,                0.92697,                0.96236,                0.83143,                0.54764,                 0.4979,                0.88515,               0.009109,               0.009109,               0.009109
                     11,                0.65648,                0.58072,                0.88841,                0.95344,                  0.921,                0.96082,                 0.8242,                0.55441,                0.49337,                0.87929,                0.00901,                0.00901,                0.00901
                     12,                0.64088,                0.56017,                0.88721,                0.94979,                0.92082,                 0.9631,                 0.8344,                0.53405,                0.47101,                0.87384,               0.008911,               0.008911,               0.008911
                     13,                0.63294,                0.55501,                0.88585,                 0.9473,                0.93316,                0.96483,                0.83463,                0.53318,                0.47753,                0.87679,               0.008812,               0.008812,               0.008812
                     14,                0.63116,                0.53901,                0.88435,                0.94556,                0.92159,                0.95943,                0.84035,                 0.5216,                0.46491,                 0.8724,               0.008713,               0.008713,               0.008713
                     15,                0.62394,                0.51251,                0.87939,                0.95723,                0.93919,                0.96772,                0.84371,                0.52922,                0.42686,                0.87266,               0.008614,               0.008614,               0.008614
                     16,                0.61637,                0.50263,                 0.8813,                0.94897,                0.93482,                0.96722,                0.84907,                0.50508,                0.42227,                0.86934,               0.008515,               0.008515,               0.008515
                     17,                0.60099,                0.48945,                0.87586,                0.95483,                0.93621,                0.96569,                0.84505,                0.51778,                0.42201,                0.87208,               0.008416,               0.008416,               0.008416
                     18,                0.60358,                0.47901,                0.87523,                0.96498,                0.93423,                0.96935,                0.85605,                0.49231,                0.40707,                0.86363,               0.008317,               0.008317,               0.008317
                     19,                0.59545,                0.47884,                0.87926,                0.95661,                0.93837,                0.96974,                0.85612,                0.49401,                0.39292,                0.86984,               0.008218,               0.008218,               0.008218
                     20,                0.58675,                0.46683,                0.87316,                0.95648,                0.94166,                0.97103,                0.85966,                0.48512,                0.38244,                0.86412,               0.008119,               0.008119,               0.008119
                     21,                0.58258,                0.46144,                0.86903,                0.95623,                0.93774,                0.96997,                0.85872,                0.48613,                0.38726,                0.86263,                0.00802,                0.00802,                0.00802
                     22,                0.58662,                 0.4553,                0.87364,                0.96636,                0.93813,                0.97112,                0.86248,                0.48113,                0.37502,                0.86393,               0.007921,               0.007921,               0.007921
                     23,                0.57474,                 0.4446,                0.86969,                0.96196,                0.93858,                 0.9697,                0.86353,                0.47291,                0.36993,                0.86357,               0.007822,               0.007822,               0.007822
                     24,                0.56462,                0.43448,                0.86606,                0.95709,                0.93899,                0.96878,                0.85978,                0.48612,                0.37527,                 0.8659,               0.007723,               0.007723,               0.007723
                     25,                  0.567,                0.43408,                0.86663,                0.96267,                0.94237,                0.97155,                0.86561,                0.47007,                0.36372,                0.86089,               0.007624,               0.007624,               0.007624
                     26,                0.56502,                0.42026,                0.86714,                0.96645,                0.94869,                0.97267,                 0.8642,                0.48484,                0.36096,                0.86231,               0.007525,               0.007525,               0.007525
                     27,                0.55604,                0.42069,                0.86648,                0.96238,                0.93617,                0.96943,                0.86722,                0.46864,                 0.3539,                0.86165,               0.007426,               0.007426,               0.007426
                     28,                0.55448,                 0.4175,                0.86457,                0.96739,                0.92894,                0.97124,                0.86469,                0.47502,                0.37904,                0.86298,               0.007327,               0.007327,               0.007327
                     29,                0.55166,                0.40439,                0.86456,                0.96059,                0.93847,                0.96766,                0.86606,                0.46393,                0.36175,                0.85952,               0.007228,               0.007228,               0.007228
                     30,                0.55125,                0.40702,                0.86241,                0.96607,                0.93581,                0.96892,                0.86588,                0.46806,                0.36496,                0.85988,               0.007129,               0.007129,               0.007129
                     31,                0.54844,                0.40065,                0.86352,                0.96173,                0.94009,                0.97054,                0.86737,                0.46687,                0.35748,                 0.8585,                0.00703,                0.00703,                0.00703
                     32,                0.54049,                0.40147,                0.85945,                0.95861,                 0.9417,                0.97117,                0.86514,                0.47621,                 0.3542,                0.86488,               0.006931,               0.006931,               0.006931
                     33,                0.53603,                0.39365,                0.86132,                0.96845,                0.94386,                0.97205,                0.87407,                0.45343,                0.33881,                0.85926,               0.006832,               0.006832,               0.006832
                     34,                0.54217,                0.38721,                0.85948,                0.96535,                 0.9508,                0.97426,                0.87522,                0.45921,                0.33834,                0.85639,               0.006733,               0.006733,               0.006733
                     35,                0.53124,                0.37885,                0.85779,                0.96325,                0.93889,                0.97296,                0.87495,                0.45545,                0.34769,                0.85697,               0.006634,               0.006634,               0.006634
                     36,                0.53051,                0.38078,                0.85701,                0.96945,                0.94372,                0.97492,                0.87415,                0.45721,                0.33139,                0.85864,               0.006535,               0.006535,               0.006535
                     37,                0.53107,                0.37917,                0.85994,                0.96437,                0.94552,                0.97475,                0.87624,                0.45068,                 0.3326,                0.85492,               0.006436,               0.006436,               0.006436
                     38,                0.52185,                0.37999,                0.85413,                0.96878,                0.94687,                0.97487,                0.87766,                0.45174,                0.33298,                0.85538,               0.006337,               0.006337,               0.006337
                     39,                0.52707,                 0.3684,                0.85529,                0.96823,                0.94691,                0.97546,                 0.8803,                0.44616,                0.32078,                0.85497,               0.006238,               0.006238,               0.006238
                     40,                0.51806,                  0.365,                0.85455,                0.96802,                0.94317,                0.97408,                0.87789,                0.45236,                0.32248,                 0.8557,               0.006139,               0.006139,               0.006139
                     41,                0.51562,                0.36223,                0.85278,                0.96932,                0.94771,                0.97195,                0.87834,                0.44932,                0.32895,                0.85752,                0.00604,                0.00604,                0.00604
                     42,                0.51478,                0.36108,                0.85245,                0.97084,                0.95015,                0.97629,                0.88097,                0.44678,                0.32068,                0.85416,               0.005941,               0.005941,               0.005941
                     43,                0.51343,                 0.3558,                0.85011,                0.97265,                 0.9514,                0.97542,                0.88292,                0.44038,                0.31198,                0.85096,               0.005842,               0.005842,               0.005842
                     44,                0.50943,                0.35152,                0.85114,                0.96687,                0.94754,                0.97397,                0.87715,                0.44985,                0.31923,                0.85215,               0.005743,               0.005743,               0.005743
                     45,                0.50457,                0.35435,                 0.8518,                0.96348,                0.95019,                0.97316,                0.87959,                0.44577,                0.32161,                0.85389,               0.005644,               0.005644,               0.005644
                     46,                0.50685,                0.34653,                0.84723,                0.96892,                0.94449,                0.97331,                0.88037,                0.44007,                0.31569,                0.85221,               0.005545,               0.005545,               0.005545
                     47,                  0.501,                0.34701,                 0.8507,                0.96621,                0.95055,                0.97508,                0.88456,                0.44161,                0.31043,                0.85181,               0.005446,               0.005446,               0.005446
                     48,                0.50338,                0.34253,                 0.8502,                0.97103,                0.94428,                0.97282,                0.87918,                0.44276,                0.31624,                0.85256,               0.005347,               0.005347,               0.005347
                     49,                0.49942,                0.34261,                0.84813,                0.97016,                0.94811,                0.97239,                0.88202,                0.43658,                  0.315,                0.85286,               0.005248,               0.005248,               0.005248
                     50,                0.49532,                0.33923,                0.84829,                0.97582,                0.94797,                0.97596,                0.88417,                0.43952,                0.30649,                0.85168,               0.005149,               0.005149,               0.005149
                     51,                0.49417,                0.33704,                0.84797,                0.96189,                0.95147,                 0.9741,                0.88297,                 0.4405,                0.31122,                0.85434,                0.00505,                0.00505,                0.00505
                     52,                0.49101,                0.33468,                0.84761,                 0.9673,                0.94515,                0.97394,                0.88568,                0.43747,                0.30754,                0.85297,               0.004951,               0.004951,               0.004951
                     53,                0.49671,                0.33259,                0.84747,                 0.9716,                0.95194,                 0.9756,                 0.8848,                0.43862,                0.30385,                0.85263,               0.004852,               0.004852,               0.004852
                     54,                0.48679,                0.32995,                0.84567,                0.96912,                0.95022,                0.97477,                0.88524,                0.43821,                0.30438,                0.85195,               0.004753,               0.004753,               0.004753
                     55,                0.48622,                0.32804,                0.84553,                0.96869,                0.95088,                0.97632,                0.88723,                0.43505,                0.30577,                0.85056,               0.004654,               0.004654,               0.004654
                     56,                0.48731,                   0.33,                0.84619,                0.96599,                 0.9496,                0.97602,                0.88303,                0.43954,                0.30712,                0.85589,               0.004555,               0.004555,               0.004555
                     57,                0.48357,                0.32691,                0.84479,                0.96943,                0.95139,                0.97619,                0.88627,                0.43217,                0.29854,                0.84984,               0.004456,               0.004456,               0.004456
                     58,                 0.4774,                0.32754,                0.84377,                0.96327,                0.94754,                0.97478,                0.88521,                0.43827,                0.30387,                0.85414,               0.004357,               0.004357,               0.004357
                     59,                0.48019,                0.32322,                0.84293,                0.96814,                0.95357,                0.97649,                0.88593,                0.43493,                0.29211,                0.85043,               0.004258,               0.004258,               0.004258
                     60,                0.47715,                 0.3247,                0.84359,                0.97109,                0.94918,                0.97389,                0.88425,                0.43894,                0.29964,                0.85277,               0.004159,               0.004159,               0.004159
                     61,                0.47881,                0.32128,                0.84388,                0.97093,                0.94689,                0.97487,                0.88699,                0.42759,                0.29282,                0.84919,                0.00406,                0.00406,                0.00406
                     62,                0.47536,                0.31903,                 0.8434,                0.97608,                0.94582,                0.97663,                0.89009,                0.42692,                0.29316,                0.85004,               0.003961,               0.003961,               0.003961
                     63,                0.47474,                0.31666,                 0.8431,                0.97266,                0.94526,                0.97511,                0.88747,                0.43195,                 0.2954,                0.85209,               0.003862,               0.003862,               0.003862
                     64,                0.47112,                0.31776,                0.84218,                 0.9758,                0.94848,                0.97657,                0.89006,                0.43089,                0.29569,                0.85131,               0.003763,               0.003763,               0.003763
                     65,                0.46769,                0.31133,                0.83979,                0.96898,                0.95284,                0.97634,                0.89055,                0.42447,                0.28615,                0.85103,               0.003664,               0.003664,               0.003664
