                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7118,                 4.4155,                 3.5589,                 2.4669,                0.02354,                0.82918,                0.12892,                0.04127,                 0.0197,                0.69395,                0.08207,                0.02021,                 2.2925,                 2.7551,                 2.8722,                 1.6847,                 0.0838,                 0.0018,                 0.0018
                      1,                 2.1533,                 2.0246,                 2.5796,                 1.5789,                0.02475,                0.87189,                0.37711,                0.14451,                0.02384,                0.83986,                0.38775,                0.13284,                 1.8434,                 1.6371,                 2.4703,                 1.4246,               0.066696,              0.0036963,              0.0036963
                      2,                 2.0419,                 1.7521,                 1.8698,                 1.4399,                0.57094,                0.26045,                0.45162,                0.20285,                0.56594,                0.27375,                0.41974,                0.16843,                 1.5972,                 1.5253,                 2.1479,                 1.1911,               0.049589,              0.0055889,              0.0055889
                      3,                 1.9564,                 1.6322,                 1.6702,                 1.4051,                0.12951,                0.13879,                0.16875,                0.05578,                0.15608,                0.16726,                0.19112,                0.06773,                 2.0132,                 1.4346,                 2.3121,                 1.5241,               0.032478,              0.0074777,              0.0074777
                      4,                   1.96,                   1.67,                 1.5672,                 1.4091,                0.62522,                0.48043,                0.56175,                0.26995,                0.59165,                0.46405,                0.50852,                 0.2108,                 1.5642,                 1.4985,                 1.8486,                 1.3225,               0.015363,              0.0093628,              0.0093628
                      5,                 1.9285,                 1.6858,                 1.5555,                 1.3656,                0.45357,                0.49626,                0.51142,                0.22121,                0.49234,                0.54804,                0.53836,                0.22303,                 1.8123,                 1.4135,                 1.7727,                 1.4964,              0.0099505,              0.0099505,              0.0099505
                      6,                  1.944,                 1.5365,                 1.5142,                 1.3733,                0.52911,                0.62779,                0.57198,                0.23214,                0.52293,                0.68683,                0.57117,                0.23015,                 1.5718,                 1.3728,                 1.6246,                 1.3166,              0.0099505,              0.0099505,              0.0099505
                      7,                  1.973,                 1.5558,                 1.5197,                 1.3183,                0.37015,                0.55872,                0.41383,                0.14715,                0.55566,                0.64083,                0.57113,                0.24234,                 2.0369,                 1.5005,                  1.637,                 1.4329,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.7626,                 1.4761,                 1.4374,                 1.2556,                0.57551,                0.69478,                0.63019,                0.27794,                0.53455,                0.66618,                0.57357,                0.25761,                 1.6251,                 1.4365,                 1.4395,                    1.3,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.8309,                 1.5179,                 1.4211,                 1.2509,                0.54726,                0.76157,                 0.6102,                0.28708,                0.58026,                0.69367,                0.58467,                0.26812,                 1.5175,                 1.2974,                 1.4183,                   1.21,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.6192,                 1.4845,                  1.337,                 1.2123,                0.61974,                0.69018,                0.68081,                 0.2935,                 0.6957,                0.77224,                0.75051,                0.38462,                 1.7486,                 1.3639,                 1.4611,                   1.24,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.6875,                 1.3739,                 1.3263,                 1.2062,                0.68413,                 0.7014,                0.73668,                0.37206,                0.70351,                0.70085,                0.72286,                0.34214,                 1.4642,                  1.249,                 1.2808,                 1.1783,               0.009901,               0.009901,               0.009901
                     12,                 1.6681,                 1.3914,                 1.2924,                 1.1855,                0.77102,                0.74733,                0.79183,                0.37401,                0.76582,                0.72954,                0.77188,                0.39636,                 1.4512,                 1.2613,                  1.251,                  1.162,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.6427,                 1.4385,                 1.2923,                 1.1518,                0.78398,                0.79715,                0.78779,                0.38506,                0.74759,                0.74836,                  0.713,                0.31393,                 1.4541,                 1.4453,                 1.1902,                 1.1952,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.5526,                 1.4054,                 1.2469,                  1.149,                0.57861,                0.66904,                0.56828,                0.25392,                 0.7415,                0.81495,                0.76413,                0.37947,                 1.7308,                 1.2443,                 1.4216,                 1.2994,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.5729,                 1.3584,                 1.2337,                 1.1224,                0.85082,                0.84342,                0.83439,                 0.4453,                 0.8321,                0.81139,                0.80029,                0.35516,                  1.327,                 1.3509,                 1.1212,                 1.1005,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.5534,                 1.4038,                 1.1913,                 1.1067,                0.83354,                0.82206,                0.85394,                0.49968,                0.79132,                0.78648,                0.78385,                0.38327,                 1.1993,                  1.319,                 1.0107,                 1.1034,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.5057,                 1.3617,                 1.1671,                 1.1202,                0.81325,                0.77488,                0.80236,                0.44075,                0.79878,                  0.777,                0.77241,                0.39849,                 1.4655,                 1.1333,                 1.0991,                 1.2173,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.5221,                 1.3239,                 1.1561,                 1.0995,                0.83599,                0.79817,                0.85796,                0.42411,                0.76653,                0.76868,                0.76864,                0.34529,                 1.4522,                 1.4875,                 1.2139,                 1.1182,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.5022,                 1.2925,                 1.1538,                 1.1177,                0.71525,                0.74195,                0.74664,                0.40552,                0.66306,                 0.7153,                0.70571,                0.31934,                 1.3229,                 1.2348,                 1.2203,                 1.0799,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.4978,                 1.2842,                 1.1543,                  1.075,                0.79201,                0.85373,                0.84086,                0.49436,                 0.7704,                0.83274,                 0.8053,                0.41189,                 1.2842,                 1.2314,                 1.0383,                 1.1524,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.4959,                 1.2881,                 1.1518,                 1.0748,                0.84278,                0.83935,                0.86067,                0.51306,                0.84903,                0.81495,                0.82291,                0.43265,                 1.1227,                 1.3087,                0.95192,                 1.0775,               0.009802,               0.009802,               0.009802
                     22,                 1.4289,                 1.2819,                  1.094,                 1.0752,                0.84332,                0.86197,                0.87031,                0.45764,                0.88034,                 0.8378,                0.86322,                0.49047,                 1.3583,                 1.2556,                0.97624,                  1.072,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.4237,                 1.2901,                 1.0785,                 1.0734,                0.87399,                0.83921,                0.88441,                0.50085,                0.82535,                 0.7904,                0.79921,                0.39371,                 1.2092,                 1.5025,                0.99417,                  1.105,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.4615,                  1.335,                 1.0922,                 1.0556,                 0.7896,                  0.879,                 0.8456,                0.49626,                0.75061,                0.81403,                0.78788,                0.36986,                 1.1745,                  1.561,                 1.0302,                 1.0624,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.4155,                 1.2674,                 1.0633,                 1.0622,                0.86794,                 0.8968,                0.89891,                0.56037,                0.86048,                0.86833,                0.85552,                0.47946,                 1.2104,                 1.2136,                0.91599,                 1.1116,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.4002,                 1.2367,                 1.0539,                 1.0525,                0.82711,                0.85122,                0.85159,                0.48306,                0.83089,                0.85053,                0.82656,                0.44699,                 1.3241,                 1.1535,                 1.0352,                  1.152,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.4238,                  1.258,                 1.0672,                 1.0353,                0.85607,                0.86477,                0.85785,                0.49732,                0.80491,                0.79285,                0.79824,                0.37708,                 1.2807,                 1.1287,                 0.9715,                   1.08,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.3821,                 1.2956,                 1.0425,                 1.0468,                0.84435,                0.87189,                0.88237,                 0.5021,                 0.8155,                0.84342,                0.81377,                0.42736,                 1.1715,                 1.1382,                0.94602,                  1.057,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.4046,                 1.2187,                 1.0258,                 1.0301,                0.83262,                0.85765,                0.84673,                0.45505,                 0.8303,                0.85319,                0.82221,                0.45993,                 1.2597,                 1.1346,                0.94746,                  1.107,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.3597,                 1.2508,                 1.0135,                 1.0278,                0.85814,                0.90036,                0.89198,                0.57895,                0.82979,                0.89324,                 0.8544,                0.45613,                 1.0509,                 1.2448,                 0.9099,                 1.1112,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.3759,                 1.2787,                 1.0076,                 1.0292,                0.83976,                  0.879,                0.87184,                0.57515,                0.82902,                0.86121,                0.83474,                0.45056,                 1.0198,                 1.2488,                0.91983,                 1.0601,               0.009703,               0.009703,               0.009703
                     32,                 1.3577,                 1.2648,                0.99451,                 1.0273,                0.88214,                0.91459,                0.88767,                0.52046,                0.85902,                0.88907,                0.83983,                0.45147,                 1.1574,                 1.1019,                0.90184,                  1.063,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.3435,                 1.2751,                0.98075,                 1.0262,                0.86593,                0.86121,                 0.9049,                0.51247,                 0.8591,                0.77936,                0.82977,                0.42906,                 1.1721,                 1.2067,                0.93638,                 1.0919,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.3607,                 1.2747,                0.98157,                 1.0172,                0.77604,                 0.8262,                0.83154,                0.48195,                0.73927,                0.78706,                0.77589,                0.37433,                 1.1858,                 1.1329,                 1.0386,                 1.0478,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.3589,                 1.2647,                 1.0186,                 1.0229,                0.81424,                0.87189,                 0.8592,                0.53208,                 0.8087,                0.85749,                0.82837,                0.46523,                 1.0305,                 1.1542,                0.89933,                 1.0318,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.3565,                 1.2294,                0.99357,                 1.0116,                0.82409,                0.88612,                0.86706,                0.53975,                0.76917,                0.87751,                0.80194,                0.41742,                 1.0154,                 1.1628,                0.96107,                0.99282,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.3622,                 1.2913,                0.98157,                  1.019,                0.83733,                0.89324,                0.87361,                0.49992,                0.81158,                0.82775,                0.79691,                0.39143,                 1.2233,                 1.3524,                0.95058,                 1.1228,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.3554,                 1.2642,                0.98687,                 1.0145,                0.84777,                0.86833,                 0.8943,                0.58661,                0.82188,                0.86121,                0.86051,                0.48231,                 1.0715,                 1.1038,                0.86628,                 1.0885,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.3473,                  1.195,                0.96191,                 1.0119,                0.83054,                0.87209,                0.86294,                0.51082,                 0.8136,                 0.8543,                0.82243,                0.41414,                 1.1113,                 1.2335,                0.90103,                 1.0656,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.3282,                 1.1862,                0.96034,                 1.0016,                  0.859,                0.86724,                0.87291,                0.53478,                0.82868,                0.88256,                0.82826,                0.43116,                 1.0394,                 1.1671,                0.82714,                 1.0253,              0.0096139,              0.0096139,              0.0096139
                     41,                  1.318,                 1.2734,                0.95469,                 1.0059,                0.88452,                0.88256,                0.90016,                0.53921,                0.85062,                0.85108,                0.84759,                0.43948,                 1.1409,                  1.346,                0.86183,                 1.0105,               0.009604,               0.009604,               0.009604
                     42,                 1.3077,                 1.2138,                0.93517,                 1.0066,                0.92716,                0.86833,                0.91143,                0.59735,                0.89424,                 0.8726,                 0.8834,                0.49416,                0.97464,                 1.0985,                0.80549,                 1.0274,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.3004,                 1.2061,                0.92841,                0.99758,                0.86994,                0.88612,                0.89873,                0.57589,                0.85348,                0.87189,                0.85872,                 0.4639,                 1.0392,                 1.1997,                  0.818,                 1.0047,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.2859,                 1.1791,                0.90877,                0.99024,                0.88786,                0.87347,                0.90104,                0.59883,                 0.8754,                0.87507,                 0.8647,                0.48205,                0.92157,                 1.0938,                0.76772,                 1.0071,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.275,                 1.2413,                 0.8916,                 1.0034,                0.86267,                0.92883,                 0.9045,                0.57843,                0.84916,                0.90391,                 0.8659,                0.46613,                0.95318,                 1.1602,                0.81914,                 1.0446,              0.0095644,              0.0095644,              0.0095644
